Name	Value	Formulae	Rationale
GATA3	2	(GATA3 | STAT6 | STAT5) & NFKB & !miR-34c-5p	GATA3 (Th2 master regulator) is activated by STAT6 with NFKB and self-maintained; predicted miR-34c-5p target.
GATA3	1	(GATA3 | STAT6 | STAT5) & NFKB	Baseline GATA3 activation.
RORC	1	TGFBR & STAT3	RORC (Th17 master regulator) is activated by STAT3, promoted by TGFB signalling.
FOXP3	1	STAT5 & NFAT & FOXP3 & !miR-34c-5p	FOXP3 (iTreg master regulator) self-maintains given STAT5 and NFAT; predicted miR-34c-5p target.
FOXP3	1	STAT5 & NFAT & !FOXP3 & !STAT1 & !(STAT3 & RORC) & !miR-34c-5p	De-novo FOXP3 induction, blocked by STAT1 or the STAT3+RORC combination.
BCL6	1	(STAT3 & STAT4) | SPI1-PU1 & !(TBX21 & miR-34c-5p)	BCL6 (Tfh master regulator) requires STAT3+STAT4 or SPI1, absent the TBX21+miR-34c-5p combination.
SPI1-PU1	1	GATA3 & TGFBR & !miR-155-5p	TGFBR promotes SPI1 (PU.1) activity; miR-155-5p inhibits its translation.
MAF	1	STAT5 | STAT3 & !(TGFB & miR-155-5p)	MAF requires STAT5 (IL2 route) or STAT3 (IL6 route); the STAT3 route is blocked by TGFB+miR-155-5p.
AHR	1	SP1 & NFKB | (MYC & GATA3) | (FOS & JUN) & !miR-34c-5p	AHR (Th22-associated) is induced by SP1+NFKB, or MYC+GATA3, or FOS+JUN (this last route blocked by miR-34c-5p).
IL12R	1	IL12	IL12R is activated by bound IL12.
IL1R	1	STAT3	STAT3 accounts for IL1R differential expression in naive Th vs Th17 cells.
PRDM1-BLIMP1	1	(JUN & FOS & CREBBP & !BCL6) | (STAT3 & !BCL6)	BLIMP1 requires AP1 (JUN+FOS) or STAT3, and absence of BCL6.
SIRT1	1	FOXO3 | (FOXO3 & CREB) & !TP53 & !miR-155-5p	CREB and FOXO3 activate SIRT1 transcription; TP53 inhibits it. (Transcribed exactly as published; see model_notes.md.)
miR-34c-5p	2	GATA3 & MYC & (TP53 | FOXO3 | SP1)	Enhanced miR-34c-5p transcription: GATA3+MYC plus one of TP53/FOXO3/SP1 (ChIP-seq-supported).
miR-34c-5p	1	GATA3 & MYC	Baseline miR-34c-5p transcription requires GATA3 and MYC (which themselves control T-cell proliferation).
miR-155-5p	1	NFKB & NFAT & (TBX21 | GATA3 | RORC | FOXP3)	Enhanced miR-155-5p transcription with a Th master regulator present.
miR-155-5p	1	NFKB & NFAT	Baseline miR-155-5p transcription shortly after activation, requiring NFAT and NFKB.
MAP4K1-MEKKK	1	ZAP70	MEKKK is activated downstream of ZAP70 (via LAT), leading to JNK activation.
